date,hhi
2018-01-31,0.15722625492553083
2018-02-28,0.17251065125206844
2018-03-29,0.15611697690272036
2018-04-30,0.15883130924189653
2018-05-31,0.1638233925310726
2018-06-29,0.1688490002643861
2018-07-31,0.1655133242819464
2018-08-31,0.17225635726836502
2018-09-28,0.1764381461944318
2018-10-31,0.17642263481475123
2018-11-30,0.17474073252766015
2018-12-31,0.17574815544714692
2019-01-31,0.17328845364912207
2019-02-28,0.17201873059136294
2019-03-29,0.16102708172957225
2019-04-30,0.15958186494082727
2019-05-31,0.16743174371849995
2019-06-28,0.1868714045353768
2019-07-31,0.19031847035687754
2019-08-30,0.1853240010657547
2019-09-30,0.1906234913875045
2019-10-31,0.1917885152703426
2019-11-29,0.18366154397689416
2019-12-31,0.18435113547756568
2020-01-31,0.1846529001462333
2020-02-28,0.18382173965355747
2020-03-31,0.20458161678290213
2020-04-30,0.20918877569919006
2020-05-29,0.23173221868838903
2020-06-30,0.2220257723227011
2020-07-31,0.22194258749236817
2020-08-31,0.22271240305506723
2020-09-30,0.2208221688063645
2020-10-30,0.23123104098353103
2020-11-30,0.229719821952169
2020-12-31,0.23327943173404353
2021-01-29,0.2329736841902464
2021-02-26,0.2216829021322867
2021-03-31,0.2270037386957634
2021-04-30,0.2148441232139006
2021-05-28,0.2087958575832325
2021-06-30,0.20771844820623436
2021-07-30,0.20385284259333283
2021-08-31,0.19845748257628001
2021-09-30,0.19423873066268688
2021-10-29,0.1909126257049037
2021-11-30,0.19826951566716913
2021-12-31,0.19744034448279765
2022-01-31,0.18072052204077227
2022-02-28,0.16224110390728466
2022-03-31,0.16421101445722952
2022-04-29,0.16286329713371883
2022-05-31,0.17309817320932694
2022-06-30,0.1542332804040218
2022-07-29,0.1619611931302513
2022-08-31,0.16591916387309524
2022-09-30,0.16727221082030125
2022-10-31,0.1901703156520696
2022-11-30,0.18828024541248747
2022-12-30,0.1907003493354302
2023-01-31,0.19867462162848823
2023-02-28,0.20100079418258987
2023-03-31,0.18539019811855512
2023-04-28,0.17761445453872982
2023-05-31,0.19222846983449185
2023-06-30,0.18732457442144265
2023-07-31,0.18912360881930174
2023-08-31,0.18982714439735518
2023-09-29,0.17566732208323022
2023-10-31,0.17820966560011525
2023-11-30,0.17382585291884875
2023-12-29,0.17065627160912084
2024-01-31,0.172076083204814
2024-02-29,0.1681232782201569
2024-03-28,0.17413688121254342
2024-04-30,0.17409138363586074
2024-05-31,0.17085561890990686
2024-06-28,0.16973160185485942
2024-07-31,0.16980634104382053
2024-08-30,0.16941417561855754
2024-09-30,0.16999390963733899
2024-10-31,0.16712210261476748
2024-11-29,0.1828554234139581
